assedicCertInitialStateNum,assedicCertObjectNum,businessUnit,calcMethodIndicator,commitmentIndicator,company,contractReferenceForAed,contractType,costCenter,countryOfCompany,createdBy,createdDateTime,createdOn,defaultOvertimeCompensationVariant,department,division,eeo1JobCategory,eeo4JobCategory,eeo5JobCategory,eeo6JobCategory,eeoClass,electoralCollegeForWorkersRepresentatives,electoralCollegeForWorksCouncil,empRelationship,emplStatus,employeeClass,employeeWorkgroupMembership,employmentType,endDate,event,eventReason,exclExecutiveSector,expectedReturnDate,familyRelationshipWithEmployer,fgtsDate,fgtsOptant,fgtsPercent,flsaStatus,fte,harmfulAgentExposure,hazard,healthRisk,holidayCalendarCode,isCompetitionClauseActive,isFulltimeEmployee,isSideLineJobAllowed,jobCode,jobTitle,laborProtection,lastModifiedBy,lastModifiedDateTime,lastModifiedOn,location,managerId,mandatoryWorkBreakRecord,municipalInseeCode,notes,operation,payGrade,payScaleArea,payScaleGroup,payScaleLevel,payScaleType,pcfm,pensionProtection,permitIndicator,position,positionEntryDate,probationPeriodEndDate,regularTemp,residentVote,retired,seqNumber,sickPaySupplement,standardHours,startDate,teachersPension,timeRecordingAdmissibilityCode,timeRecordingProfileCode,timeRecordingVariant,timeTypeProfileCode,timezone,travelDistance,tupeOrgNumber,userId,workLocation,workerCategory,workingDaysPerWeek,workingTimeDirective,workscheduleCode,wtdHoursLimit
,,BU_0007,,,8001008,,,44300,,,,,,8005079,8003001,,,,,,,,,2003,2038,,,20130302,975,NEW_HIRE,,,,,,,,1,,,,,,,,28,Interim Team Leader,,,,,,E100464,,,,,,,,,,,,,,,,868,,,1,,35,20110805,,,,,,,,,E100587,LOC28,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20121031,975,NEW_HIRE,,,,,,,,1,,,,,,,,29,Application Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20090602,,,,,,,,,E100341,LOC28,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20140712,970,JOB_TIT_UPD,,,,,,,,1,,,,,,,,29,Application Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20121101,,,,,,,,,E100341,LOC28,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2008,2041,,,99991231,986,RES_CAR_MOVE,,,,,,,,1,,,,,,,,29,Application Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20140713,,,,,,,,,E100341,LOC28,,,,,
,,BU_0015,,,8001009,,,44550,,,,,,8005068,8003002,,,,,,,,,2003,2039,,,20121231,975,NEW_HIRE,,,,,,,571,1,,,,,,,,30,Senior Business Process Analyst,,,,,,,,,,,,,,,,,,,,,,868,,,1,,37.5,20061128,,,,,,,,,E100156,LOC10,,,,,
,,BU_0015,,,8001009,,,44550,,,,,,8005068,8003002,,,,,,,,,2003,2039,,,20160317,972,CORRECT,,,,,,,571,1,,,,,,,,30,Senior Business Process Analyst,,,,,,,,,,,,,,,,,,,,,,868,,,1,,37.5,20130101,,,,,,,,,E100156,LOC10,,,,,
,,BU_0006,,,8001008,,,44120,,,,,,8005059,8003001,,,,,,,,,2008,2038,,,99991231,986,END_CTRCT,,,,,,,,1,,,,,,,,32,Interim Talent & Development Manager,,,,,,E100277,,,,,,,,,,,,,,,,868,,,1,,35,20150322,,,,,,,,,E101364,LOC30,,,,,
,,BU_0006,,,8001008,,,44120,,,,,,8005059,8003001,,,,,,,,,2003,2038,,,20150321,975,NEW_HIRE,,,,,,,,1,,,,,,,,32,Interim Talent & Development Manager,,,,,,E100277,,,,,,,,,,,,,,,,868,,,1,,35,20140827,,,,,,,,,E101364,LOC30,,,,,
,,BU_0014,,,8001008,,,30009,,,,,,8005075,8003001,,,,,,,,,2003,2037,,,99991231,970,ORG_RESTRUCT,,,,,,,,1,,,,,,,,33,Application Architect,,,,,,E100467,,,,,,,,,,,,,,,,868,,,1,,35,20170101,,,,,,,,,E101863,LOC30,,,,,
,,BU_0007,,,8001008,,,30009,,,,,,8005075,8003001,,,,,,,,,2003,2037,,,20161231,975,NEW_HIRE,,,,,,,,1,,,,,,,,33,Application Architect,,,,,,E100467,,,,,,,,,,,,,,,,868,,,1,,35,20160518,,,,,,,,,E101863,LOC30,,,,,
,,BU_0006,,,8001009,,,44570,,,,,,8005086,8003001,,,,,,,,,2003,2041,,,99991231,975,NEW_HIRE,,,,,,,572,1,,,,,,,,34,Senior Analyst,,,,,,E100814,,,,,,,,,,,,,,,,867,,,1,,37.5,20150902,,,,,,,,,E101671,LOC19,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2008,2037,,,99991231,986,END_CTRCT,,,,,,,,1,,,,,,,,38,Application Architect,,,,,,E100467,,,,,,,,,,,,,,,,868,,,1,,35,20160516,,,,,,,,,E101878,LOC30,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2037,,,20160515,975,NEW_HIRE,,,,,,,,1,,,,,,,,38,Application Architect,,,,,,E100467,,,,,,,,,,,,,,,,868,,,1,,35,20160511,,,,,,,,,E101878,LOC30,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20151102,970,OTH_JOB_CHG,,,,,,,,1,,,,,,,,41,Enterprise Data Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20141201,,,,,,,,,E100484,LOC29,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20161231,970,OTH_JOB_CHG,,,,,,,,1,,,,,,,,41,Enterprise Data Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20151103,,,,,,,,,E100484,LOC30,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20121031,975,NEW_HIRE,,,,,,,,1,,,,,,,,41,Enterprise Data Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20110111,,,,,,,,,E100484,LOC28,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20141130,970,JOB_TIT_UPD,,,,,,,,1,,,,,,,,41,Enterprise Data Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20121101,,,,,,,,,E100484,LOC28,,,,,
,,BU_0014,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,99991231,970,ORG_RESTRUCT,,,,,,,,1,,,,,,,,41,Enterprise Data Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20170101,,,,,,,,,E100484,LOC30,,,,,
,,BU_0006,,,8001009,,,44210,,,,,,8005086,8003001,,,,,,,,,2003,2041,,,20141231,972,CORRECT,,,,,,,571,1,,,,,,,,42,Senior Facilities Manager,,,,,,,,,,,,,,,,,,,,,,867,,,1,,37.5,20130401,,,,,,,,,E100814,LOC19,,,,,
,,BU_0006,,,8001009,,,44570,,,,,,8005086,8003001,,,,,,,,,2003,2041,,,20150331,972,CORRECT,,,,,,,571,1,,,,,,,,42,Senior Facilities Manager,,,,,,,,,,,,,,,,,,,,,,867,,,1,,37.5,20150101,,,,,,,,,E100814,LOC19,,,,,
,,BU_0008,,,8001008,,,44200,,,,,,8005040,8003001,,,,,,,,,2003,2041,,,99991231,970,JOB_TIT_UPD,,,,,,,,1,,,,,,,,43,Accounting Assistant,,,,,,E100944,,,,,,,,,,,,,,,,867,,,1,,35,20151001,,,,,,,,,E100331,LOC30,,,,,
,,BU_0008,,,8001009,,,44200,,,,,,8005049,8003001,,,,,,,,,2008,2041,,,99991231,986,DIS_PERFORM,,,,,,,,1,,,,,,,,44,Senior Accountant,,,,,,E100669,,,,,,,,,,,,,,,,867,,,1,,37.5,20140216,,,,,,,,,E100947,LOC19,,,,,
